sites,ya,yb,na,nb
amity,11,12,34,35
amityon,6,5,8,9
armstrong,14,6,21,17
aus2,27,19,49,50
badaniaon,3,3,8,10
bogota,18,12,24,19
brookcuny,29,20,43,38
carleton,22,16,28,35
cas,1,2,3,2
csunorthonline,18,16,30,27
fmkbelgrade,6,6,10,22
georgefox,21,18,32,27
grazvienna,8,4,17,10
hawaiion,18,20,33,32
help,12,10,15,22
isb,34,28,49,46
jmu,13,13,19,21
jos,20,32,22,38
kenyon,10,14,14,27
krakowon,15,14,31,31
kwazulu,12,7,15,11
louvain,14,15,34,35
loyola,51,30,71,72
lse,11,12,19,30
mcdanielonline,25,27,40,44
metu,23,11,38,29
moralsense,95,79,150,171
mturk,42,34,59,65
mturk_india,47,55,67,85
munich,4,2,11,11
munichon,24,8,48,24
northumbria,8,7,24,24
osnabruck,1,1,8,7
ouhk,8,13,13,20
padua,9,11,23,27
pascal,30,27,58,59
psualtoona,39,36,56,64
puc,12,9,15,19
queensland2,21,10,34,38
radboud,0,0,2,0
ritonline,17,11,23,19
rotterdam,9,8,15,18
salford,18,20,34,36
seznam,10,8,15,12
seznamon,12,8,18,18
simmons,23,20,30,32
swps,15,15,30,28
tamu,12,11,25,23
tamucc,24,13,37,22
tanzania,5,4,11,10
tanzaniaon,4,1,5,2
tilburg,13,5,16,14
tilburgcaf,12,15,21,28
ulatina,45,35,60,58
umich,17,10,24,17
uned,2,1,7,6
unswonline,11,12,23,19
vcu,10,11,14,17
vuw,14,7,21,13
westernkentucky,39,25,53,48
yale,6,2,7,6
