sites,ya,yb,na,nb
aus,18,2,28,24
badaniaon,3,0,5,5
bc,9,0,11,12
bilgi,10,3,20,25
brasilia,19,4,29,24
cas,1,0,3,6
castab,7,0,10,9
doshisha,9,1,22,25
eindhoven,18,1,19,14
eindhoventab,1,0,1,4
elte,24,0,32,22
eltetab,22,0,29,22
fmkbelgrade,3,0,3,5
grazvienna,18,1,23,19
hawaiion,17,6,24,31
henan,1,0,4,4
hkust,6,1,14,8
hkusttab,1,0,3,4
hunancomp,15,7,27,25
ithaca,16,2,19,23
johannesburg,9,2,14,16
johannesburgother,2,1,2,7
koc,3,1,4,5
lausanne,32,2,37,30
leuven,2,3,5,6
lundon,18,1,20,17
marian,10,5,13,24
marianipad,6,2,7,6
mariantab,6,0,7,5
mturk,41,9,57,45
mturk_india,64,32,94,79
navarra,6,2,8,10
ntnu,2,1,3,5
ntnutab,2,0,3,5
occid,9,1,10,12
occidtab,10,1,10,8
ouhktab,3,2,5,10
plu,11,2,16,19
poitiers,10,1,12,16
potsdam,13,1,16,29
pscio,13,6,30,32
psuabington,19,6,28,29
psuabingtontab,25,7,34,21
psumain,11,4,15,17
purkyne,26,13,41,40
sandiegosu,42,8,55,54
santiagoon,13,3,19,17
swps,6,3,12,22
tamu,26,4,32,25
tilburg,13,3,15,17
tilburgcaf,18,4,19,21
tilburgcomm,19,0,25,40
toronto,51,14,79,75
tufts,9,4,11,21
ubc,9,3,12,12
ubctab,5,2,8,13
ucron,27,4,36,26
udd,15,3,24,30
ufl,22,5,29,37
uiuc,26,4,35,40
umich,14,3,16,26
unam,36,5,48,46
unibelgrade,7,1,8,9
uniporto,5,3,8,14
uva,10,1,15,11
vuamsterdam,12,1,15,10
vuw,11,2,18,20
washlee,18,6,21,26
wilfredlaur,19,4,24,29
williampat,35,5,39,27
winchester,31,7,37,38
wpi,18,1,20,17
wroclaw,4,0,11,20
zhejiang,7,1,10,4
