sites,ya,yb,na,nb
aus,11,3,21,17
badaniaon,11,5,15,13
bc,20,5,28,24
bilgi,45,9,60,49
brasilia,16,5,22,27
cas,13,0,35,25
castab,9,4,22,25
doshisha,18,2,32,35
eindhoven,29,9,38,26
eindhoventab,4,0,4,2
elte,11,1,18,22
eltetab,15,4,22,16
fmkbelgrade,3,1,7,11
grazvienna,17,6,34,45
hawaiion,19,9,30,16
henan,3,1,3,7
hkust,14,5,34,49
hkusttab,4,0,11,10
hunancomp,22,8,53,47
ithaca,13,3,18,18
johannesburg,6,0,12,9
johannesburgother,6,0,8,3
koc,30,9,38,39
lausanne,8,2,18,27
leuven,31,4,48,49
lundon,32,5,35,39
marian,13,5,20,22
marianipad,6,3,6,8
mariantab,6,1,8,5
mturk,90,35,120,107
mturk_india,72,37,92,89
navarra,10,3,19,17
ntnu,17,7,36,40
ntnutab,16,6,21,24
occid,18,6,20,25
occidtab,24,7,30,29
ouhktab,7,0,14,11
plu,22,9,26,35
poitiers,4,3,8,8
potsdam,18,4,31,16
pscio,9,2,13,12
psuabington,12,2,23,10
psuabingtontab,10,0,14,11
psumain,18,5,23,27
purkyne,24,3,34,26
sandiegosu,27,5,31,33
santiagoon,8,2,11,13
swps,19,2,36,25
tamu,19,8,23,19
tilburg,31,3,37,27
tilburgcaf,18,2,21,19
tilburgcomm,15,1,18,20
toronto,73,20,100,96
tufts,21,8,28,27
ubc,20,8,29,28
ubctab,15,4,23,26
ucron,21,3,29,9
udd,21,3,23,18
ufl,26,8,28,20
uiuc,43,13,61,69
umich,22,2,30,16
unam,23,5,29,21
unibelgrade,20,3,33,29
uniporto,7,0,7,7
uva,29,6,35,25
vuamsterdam,26,11,38,32
vuw,20,10,30,32
washlee,23,7,25,25
wilfredlaur,17,1,21,17
williampat,22,7,30,29
winchester,27,9,37,29
wpi,24,4,26,23
wroclaw,23,5,37,29
zhejiang,14,2,37,35
