sites,ya,yb,na,nb
amity,36,41,72,75
amityon,11,15,22,22
armstrong,28,20,39,41
aus2,42,36,82,95
badaniaon,10,10,20,22
bogota,40,32,53,49
brookcuny,64,40,97,78
carleton,38,32,58,63
cas,9,7,24,24
csunorthonline,30,22,47,41
fmkbelgrade,22,24,44,59
georgefox,55,32,78,57
grazvienna,21,22,47,54
hawaiion,42,32,66,55
help,33,22,43,47
isb,63,62,90,93
jmu,31,28,41,45
jos,35,49,39,55
kenyon,34,30,49,57
krakowon,21,20,48,51
kwazulu,28,18,39,37
louvain,24,20,51,49
loyola,100,67,144,148
lse,23,29,44,66
mcdanielonline,49,49,77,81
metu,37,25,66,60
moralsense,298,230,416,414
mturk,104,91,157,183
mturk_india,114,128,164,197
munich,20,15,43,41
munichon,63,41,120,93
northumbria,20,14,42,37
osnabruck,21,13,51,33
ouhk,17,18,31,37
padua,20,17,37,40
pascal,43,44,85,83
psualtoona,56,55,82,93
puc,29,19,43,37
queensland2,48,27,70,67
radboud,8,9,15,15
ritonline,27,25,38,47
rotterdam,27,18,37,40
salford,28,26,51,52
seznam,28,22,45,38
seznamon,42,29,64,52
simmons,33,27,45,50
swps,20,23,45,43
tamu,24,27,40,45
tamucc,35,24,49,40
tanzania,24,21,33,32
tanzaniaon,7,5,8,8
tilburg,37,19,56,38
tilburgcaf,14,28,31,50
ulatina,82,60,109,97
umich,28,23,47,39
uned,33,25,45,41
unswonline,27,27,48,49
vcu,26,29,43,53
vuw,39,22,53,47
westernkentucky,64,47,83,79
yale,104,78,149,134
