sites,ya,yb,na,nb
amity,25,29,36,40
amityon,5,10,13,13
armstrong,14,14,18,24
aus2,15,17,33,45
badaniaon,7,7,12,12
bogota,22,20,29,30
brookcuny,35,20,53,40
carleton,16,16,30,28
cas,8,5,21,22
csunorthonline,12,6,17,14
fmkbelgrade,16,18,34,37
georgefox,34,14,46,30
grazvienna,13,18,30,44
hawaiion,24,12,33,23
help,21,12,27,25
isb,29,34,41,47
jmu,18,15,22,24
jos,15,17,16,17
kenyon,24,15,35,29
krakowon,6,6,17,20
kwazulu,16,10,24,24
louvain,10,5,17,14
loyola,49,37,73,75
lse,12,16,25,35
mcdanielonline,24,22,37,37
metu,14,14,28,31
moralsense,203,151,266,243
mturk,62,57,98,117
mturk_india,66,73,96,112
munich,16,13,32,30
munichon,39,33,72,69
northumbria,12,7,18,13
osnabruck,20,12,43,26
ouhk,9,5,18,17
padua,11,6,14,13
pascal,13,16,27,23
psualtoona,17,19,26,29
puc,17,9,28,17
queensland2,27,17,36,28
radboud,8,9,13,15
ritonline,10,14,15,28
rotterdam,18,10,22,22
salford,10,6,17,16
seznam,18,14,30,26
seznamon,30,21,46,34
simmons,10,6,15,17
swps,5,8,15,15
tamu,12,16,15,22
tamucc,11,11,12,18
tanzania,19,16,22,20
tanzaniaon,3,4,3,6
tilburg,24,14,40,24
tilburgcaf,2,13,10,22
ulatina,36,25,48,39
umich,11,13,23,22
uned,31,24,38,35
unswonline,16,15,25,30
vcu,16,18,29,36
vuw,25,15,32,34
westernkentucky,25,22,30,31
yale,98,76,142,128
